Nombre de la Prueba	Código de Prueba	Función o Método	Descripción	Datos de Entrada	Resultado Esperado	Resultado Obtenido	Estado	Observaciones
Validación vent_id para guardar	PU-VEN-014	VentaController::guardar()	Validar que vent_id sea mayor a 0	vent_id=50	ID válido	Validación exitosa	Exitoso	Valida vent_id > 0
Conversión tipos datos POST	PU-VEN-015	VentaController::guardardetalle()	Validar conversión de strings a tipos correctos	Strings numéricos	Enteros y floats correctos	Conversión exitosa	Exitoso	intval() y floatval()
Estructura respuesta JSON con VENT_ID	PU-VEN-016	VentaController::registrar()	Validar respuesta con ID de venta	Venta creada	{"success":true,"VENT_ID":123}	Estructura correcta	Exitoso	Incluye VENT_ID generado
Estructura respuesta JSON con DETV_ID	PU-VEN-017	VentaController::guardardetalle()	Validar respuesta con ID de detalle	Detalle creado	{"success":true,"DETV_ID":456}	Estructura correcta	Exitoso	Incluye DETV_ID generado
Estructura respuesta JSON error stock	PU-VEN-018	VentaController::guardardetalle()	Validar mensaje de error descriptivo	Stock insuficiente	{"success":false,"message":"Stock insuficiente. Disponible: 5"}	Error descriptivo	Exitoso	Mensaje incluye stock disponible
Verificar operaciones disponibles	PU-VEN-019	VentaController::switch	Validar operaciones del switch	Ninguna	7 operaciones disponibles	7 operaciones verificadas	Exitoso	Incluye listar_por_recepcion, registrar, guardardetalle, eliminardetalle, listardetalle, calculo, guardar
Flujo completo venta simulado	PU-VEN-020	VentaController::registrar() + guardardetalle() + calculo() + guardar()	Validar flujo completo de venta	rec_id=25, productos, estado	Venta completa con totales calculados	Flujo completo exitoso	Exitoso	Integración de todas las operaciones
Sanitización nombres productos	PU-VEN-021	VentaController::listardetalle()	Prevenir XSS en nombres de productos	nombre con <script>	Nombre sanitizado con htmlspecialchars()	XSS prevenido	Exitoso	Usa ENT_QUOTES, UTF-8
Validación Content-Type JSON	PU-VEN-022	VentaController::*	Validar header Content-Type	Ninguna	Content-Type: application/json	Header correcto	Exitoso	Todas las respuestas son JSON
Manejo excepciones try-catch	PU-VEN-023	VentaController::*	Validar captura de excepciones	Exception lanzada	{"success":false,"message":"..."}	Excepción capturada	Exitoso	Try-catch en todas las operaciones
Formato número con 2 decimales	PU-VEN-024	VentaController::listardetalle()	Validar formato de precios y totales	Valores numéricos	Strings con 2 decimales	Formato correcto	Exitoso	Usa number_format(..., 2)
Detectar modo inserción	PU-USU-001	UsuarioController::guardaryeditar()	Validar detección de modo inserción	usu_id no presente	Modo inserción detectado	Detección correcta	Exitoso	Usa empty(usu_id)
Detectar modo actualización	PU-USU-002	UsuarioController::guardaryeditar()	Validar detección de modo actualización	usu_id="5"	Modo actualización detectado	Detección correcta	Exitoso	Usa !empty(usu_id)
Validar parámetros inserción completos	PU-USU-003	UsuarioController::guardaryeditar()	Validar que todos los parámetros estén presentes	usu_nom, usu_ape, usu_dni, usu_correo, usu_pass, rol_id	Todos los parámetros válidos	Validación exitosa	Exitoso	6 campos obligatorios
Detectar parámetros faltantes	PU-USU-004	UsuarioController::guardaryeditar()	Identificar campos faltantes	Parámetros incompletos	Lista de campos faltantes	Campos faltantes identificados	Exitoso	Validación campo por campo
Detectar email duplicado en inserción	PU-USU-005	UsuarioController::validar_email()	Rechazar email existente en modo inserción	email existente, sin usu_id	Email duplicado detectado	Validación rechaza duplicado	Exitoso	Cualquier email existente es duplicado
No detectar duplicado mismo usuario	PU-USU-006	UsuarioController::validar_email()	Permitir email del mismo usuario en edición	email del usuario 1, usu_id="1"	Email disponible para mismo usuario	Validación permite edición	Exitoso	Excluye mismo usuario de verificación
Detectar duplicado diferente usuario	PU-USU-007	UsuarioController::validar_email()	Rechazar email de otro usuario en edición	email de usuario 1, usu_id="3"	Email duplicado detectado	Validación rechaza duplicado	Exitoso	Compara IdUsuario != usu_id
Generar respuesta email duplicado	PU-USU-008	UsuarioController::validar_email()	Validar estructura de respuesta para duplicado	Email duplicado	{"existe":true,"mensaje":"Email ya existente"}	Estructura correcta	Exitoso	Respuesta JSON estandarizada
Generar respuesta email disponible	PU-USU-009	UsuarioController::validar_email()	Validar estructura de respuesta para disponible	Email disponible	{"existe":false,"mensaje":"Email disponible"}	Estructura correcta	Exitoso	Respuesta JSON estandarizada
Generar estructura DataTable	PU-USU-010	UsuarioController::listar()	Validar estructura para DataTables	Ninguna	Estructura con sEcho, iTotalRecords, aaData	Estructura correcta	Exitoso	Compatible con DataTables
Generar badge estado activo	PU-USU-011	UsuarioController::listar()	Generar HTML de badge para estado activo	estado=1	<span class="badge bg-success">Activo</span>	Badge correcto generado	Exitoso	Usa clases Bootstrap
Generar badge estado inactivo	PU-USU-012	UsuarioController::listar()	Generar HTML de badge para estado inactivo	estado=0	<span class="badge bg-danger">Inactivo</span>	Badge correcto generado	Exitoso	Usa clases Bootstrap
Validar operación válida	PU-USU-013	UsuarioController::switch	Validar que operación esté en lista permitida	op="guardaryeditar"	Operación válida	Validación exitosa	Exitoso	Usa in_array()
Rechazar operación inválida	PU-USU-014	UsuarioController::switch	Rechazar operación no permitida	op="operacion_inexistente"	Operación inválida	Validación rechaza operación	Exitoso	Previene operaciones no autorizadas
Verificar array datos vacío	PU-USU-015	UsuarioController::mostrar()	Validar manejo de array vacío	Array vacío	No tiene datos	Validación correcta	Exitoso	Usa is_array() && count() > 0
Verificar array datos con contenido	PU-USU-016	UsuarioController::mostrar()	Validar procesamiento de array con datos	Array con 2 usuarios	Tiene datos, count=2	Validación correcta	Exitoso	Procesa correctamente arrays
Procesar datos output individual	PU-USU-017	UsuarioController::mostrar()	Mapear datos de BD a estructura de salida	Datos de usuario	Array con USU_ID, USU_NOM, USU_APE, etc.	Mapeo correcto	Exitoso	Foreach para mapear campos
Validación nombre vacío	PU-ROL-001	RolController::guardaryeditar()	Rechazar rol con nombre vacío	rol_nom=""	Error: nombre obligatorio	Validación rechaza nombre vacío	Exitoso	Usa trim() para validar
Validación nombre muy corto	PU-ROL-002	RolController::guardaryeditar()	Rechazar rol con menos de 3 caracteres	rol_nom="AB"	Error: longitud mínima 3	Validación rechaza nombre corto	Exitoso	Valida strlen() >= 3
Validación nombre muy largo	PU-ROL-003	RolController::guardaryeditar()	Rechazar rol con más de 50 caracteres	rol_nom con 51 caracteres	Error: longitud máxima 50	Validación rechaza nombre largo	Exitoso	Valida strlen() <= 50
Inserción exitosa de rol	PU-ROL-004	RolController::guardaryeditar()	Validar inserción con nombre válido	rol_nom="Administrador", rol_id=""	Rol registrado correctamente	Inserción exitosa	Exitoso	Detecta modo inserción
Actualización exitosa de rol	PU-ROL-005	RolController::guardaryeditar()	Validar actualización de rol existente	rol_nom="Supervisor", rol_id="1"	Rol actualizado correctamente	Actualización exitosa	Exitoso	Detecta modo actualización
Rechazo rol duplicado	PU-ROL-006	RolController::guardaryeditar()	Rechazar rol con nombre duplicado	rol_nom existente	Error: Ya existe un rol con este nombre	Validación rechaza duplicado	Exitoso	Previene duplicados
Estructura DataTables para listar	PU-ROL-007	RolController::listar()	Validar estructura de respuesta	Ninguna	Estructura con sEcho, iTotalRecords, aaData	Estructura correcta con botones	Exitoso	Incluye botones editar/eliminar
Estructura JSON para mostrar	PU-ROL-008	RolController::mostrar()	Validar estructura al mostrar rol	rol_id="1"	{"ROL_ID":1,"ROL_NOM":"Administrador"}	Estructura correcta	Exitoso	Mapea campos de BD
Validación ID para eliminar	PU-ROL-009	RolController::eliminar()	Validar que ID sea numérico y no vacío	rol_id="1"	ID válido	Validación exitosa	Exitoso	Valida !empty() && is_numeric()
Combo HTML con datos	PU-ROL-010	RolController::combo()	Generar select HTML con roles activos	Ninguna	HTML con options de roles	HTML con "Seleccionar" + roles	Exitoso	Genera options dinámicamente
Combo HTML sin datos	PU-ROL-011	RolController::combo()	Manejar caso sin roles disponibles	Array vacío	HTML vacío	String vacío retornado	Exitoso	No genera HTML si no hay datos
Validación entrada con datos válidos	PU-AUTH-001	AuthController::validateLoginInput()	Validar entrada correcta de login	correo="test@example.com", password="password123"	Entrada válida	Validación exitosa	Exitoso	Método privado accedido por reflexión
Validación correo vacío	PU-AUTH-002	AuthController::validateLoginInput()	Rechazar login con correo vacío	correo="", password="password123"	Error código 3	Validación rechaza correo vacío	Exitoso	Retorna error_code específico
Validación password vacío	PU-AUTH-003	AuthController::validateLoginInput()	Rechazar login con password vacío	correo="test@example.com", password=""	Error código 4	Validación rechaza password vacío	Exitoso	Retorna error_code específico
Validación ambos campos vacíos	PU-AUTH-004	AuthController::validateLoginInput()	Rechazar login con ambos campos vacíos	correo="", password=""	Error código 2	Validación rechaza ambos vacíos	Exitoso	Error general de campos vacíos
Validación formato correo inválido	PU-AUTH-005	AuthController::validateLoginInput()	Rechazar correo con formato inválido	correo="correo-invalido", password="password123"	Error código 5	Validación rechaza formato	Exitoso	Usa filter_var() para validar email
Verificar isAuthenticated sin sesión	PU-AUTH-006	AuthController::isAuthenticated()	Validar que retorna false sin sesión activa	Sin sesión	false	Retorna false correctamente	Exitoso	Método público
Verificar getCurrentUser sin sesión	PU-AUTH-007	AuthController::getCurrentUser()	Validar que retorna null sin sesión	Sin sesión	null	Retorna null correctamente	Exitoso	Método público
Verificar constructor inicializa	PU-AUTH-008	AuthController::__construct()	Validar inicialización correcta del controller	Ninguna	Instancia de AuthController	Constructor exitoso	Exitoso	Instancia creada correctamente
Verificar método login existe	PU-AUTH-009	AuthController::login()	Validar que método login sea callable	Ninguna	Método existe y es callable	Verificación exitosa	Exitoso	Usa method_exists() y is_callable()
Verificar método logout existe	PU-AUTH-010	AuthController::logout()	Validar que método logout sea callable	Ninguna	Método existe y es callable	Verificación exitosa	Exitoso	Usa method_exists() y is_callable()
Validación valores null	PU-AUTH-011	AuthController::validateLoginInput()	Manejar valores null en entrada	correo=null, password=null	Error código 2	Validación maneja null	Exitoso	Convierte null a string vacío
Validación espacios en blanco	PU-AUTH-012	AuthController::validateLoginInput()	Rechazar campos con solo espacios	correo="   ", password="   "	Entrada inválida	Validación rechaza espacios	Exitoso	Usa trim() antes de validar
Validación correos válidos complejos	PU-AUTH-013	AuthController::validateLoginInput()	Aceptar formatos de correo complejos	"test.email@example.com", "user+tag@domain.co.uk"	Todos válidos	Validación acepta formatos complejos	Exitoso	filter_var() soporta formatos estándar
Validación correos inválidos	PU-AUTH-014	AuthController::validateLoginInput()	Rechazar formatos de correo inválidos	"correo-sin-arroba", "@domain.com", "correo@"	Todos inválidos	Validación rechaza formatos inválidos	Exitoso	filter_var() detecta formatos incorrectos
